epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.6984,1.16679,3.26449,1.02523,0.00511,1,0.92891,0.77502,0.62716,3.31908,0.83081,0.00018,0.00018,0.00018
2,75.5276,0.72039,1.75704,0.86511,0.00511,1,0.84107,0.63025,0.67981,3.20504,0.83667,0.000372476,0.000372476,0.000372476
3,112.776,0.71796,1.2424,0.87093,0.00511,1,0.05216,0.04157,0.51135,3.30417,0.82677,0.000557032,0.000557032,0.000557032
4,150.711,0.63153,1.13868,0.858,0.00511,1,0.01401,0.01218,0.50357,3.52571,0.8347,0.000733668,0.000733668,0.000733668
5,188.033,0.70152,1.15639,0.86924,0.00511,1,0.0375,0.03119,0.61176,3.43072,0.8478,0.000902384,0.000902384,0.000902384
6,225.468,0.72688,1.05791,0.89474,0.01693,0.93478,0.0436,0.03625,0.67608,3.01196,0.88419,0.00106318,0.00106318,0.00106318
7,262.615,0.69061,1.04234,0.89176,0.06917,0.26087,0.09247,0.08121,0.65147,3.00875,0.8781,0.00121606,0.00121606,0.00121606
8,300.106,0.70814,0.99523,0.89404,1,0.83849,0.95487,0.80589,0.64358,2.30835,0.86217,0.00136101,0.00136101,0.00136101
9,337.661,0.67437,0.95512,0.88,1,0.89932,0.97513,0.82464,0.6312,2.05103,0.85034,0.00149805,0.00149805,0.00149805
10,375.249,0.64795,0.88481,0.87479,0.97794,0.96384,0.9792,0.8386,0.62812,1.53979,0.85307,0.00162716,0.00162716,0.00162716
11,412.346,0.63249,0.86374,0.8638,0.98774,0.97826,0.99457,0.86669,0.58283,1.33123,0.84366,0.001604,0.001604,0.001604
12,450.428,0.62303,0.87946,0.86824,0.97775,0.95527,0.97092,0.8646,0.51049,1.12434,0.8336,0.0015644,0.0015644,0.0015644
13,487.923,0.64723,0.80973,0.86257,0.97535,0.97826,0.97433,0.85614,0.56322,1.01508,0.8444,0.0015248,0.0015248,0.0015248
14,525.793,0.65456,0.81597,0.87622,1,0.95567,0.98771,0.87573,0.52191,0.99695,0.84286,0.0014852,0.0014852,0.0014852
15,563.848,0.59616,0.75418,0.86229,1,0.95402,0.9875,0.87629,0.51469,0.85482,0.82881,0.0014456,0.0014456,0.0014456
16,600.769,0.57727,0.77198,0.85451,1,0.95275,0.98591,0.88355,0.48255,0.86413,0.82325,0.001406,0.001406,0.001406
17,638.086,0.57151,0.72997,0.85104,0.97712,1,0.99415,0.90729,0.47305,0.75227,0.81972,0.0013664,0.0013664,0.0013664
18,675.13,0.56588,0.68739,0.84057,0.99018,1,0.995,0.89219,0.48704,0.75899,0.81964,0.0013268,0.0013268,0.0013268
19,711.398,0.58797,0.66066,0.8521,0.95645,0.95484,0.9894,0.88663,0.48651,0.86235,0.82492,0.0012872,0.0012872,0.0012872
20,747.969,0.58865,0.65012,0.85328,0.99638,1,0.995,0.88414,0.46087,0.72045,0.83476,0.0012476,0.0012476,0.0012476
21,784.799,0.54905,0.61965,0.85497,1,0.97696,0.99457,0.90605,0.43171,0.66297,0.82769,0.001208,0.001208,0.001208
22,823.852,0.5159,0.61276,0.84674,0.99788,0.95652,0.9916,0.91126,0.42952,0.64953,0.81761,0.0011684,0.0011684,0.0011684
23,860.404,0.5534,0.6112,0.8423,0.97867,0.99751,0.99457,0.91637,0.40851,0.61535,0.81218,0.0011288,0.0011288,0.0011288
24,897.437,0.50906,0.60392,0.84245,0.97868,0.99811,0.99457,0.92112,0.39904,0.56062,0.81768,0.0010892,0.0010892,0.0010892
25,934.693,0.51653,0.57491,0.83462,0.99214,0.97826,0.99417,0.9003,0.42546,0.56519,0.82527,0.0010496,0.0010496,0.0010496
26,972.43,0.52075,0.60163,0.84449,1,0.99941,0.995,0.90743,0.4237,0.53519,0.81469,0.00101,0.00101,0.00101
27,1010.78,0.5155,0.55676,0.83514,0.97707,1,0.99415,0.92045,0.38266,0.51624,0.80882,0.0009704,0.0009704,0.0009704
28,1047.93,0.48947,0.52701,0.82137,0.9785,0.98943,0.99457,0.89436,0.45158,0.57001,0.81518,0.0009308,0.0009308,0.0009308
29,1085.66,0.49503,0.52496,0.8378,0.97166,1,0.995,0.90782,0.40377,0.56172,0.81213,0.0008912,0.0008912,0.0008912
30,1122.79,0.48395,0.50837,0.8224,0.97188,0.97826,0.99297,0.92657,0.395,0.55932,0.81009,0.0008516,0.0008516,0.0008516
31,1159.74,0.4657,0.4946,0.82166,0.97826,0.9782,0.99243,0.92544,0.4035,0.52245,0.81418,0.000812,0.000812,0.000812
